first_ohio_name,first_ohio_lon,first_ohio_lat,second_ohio_name,second_ohio_lon,second_ohio_lat,dist_ohio,first_abroad_name,first_abroad_lon,first_abroad_lat,second_abroad_name,second_abroad_lon,second_abroad_lat,dist_abroad,ratio
Amsterdam,-80.9228671,40.4736758,Amsterdam,-80.9228671,40.4736758,0.0,"Amsterdam, Netherlands",4.8936041,52.3727598,"Amsterdam, Netherlands",4.8936041,52.3727598,0.0,
Amsterdam,-80.9228671,40.4736758,Antrim,-81.3584466,40.1203474,53.92759307798537,"Amsterdam, Netherlands",4.8936041,52.3727598,"Antrim, United Kingdom",-6.2192038,54.715139,778.0656491738075,0.06930982383716416
Amsterdam,-80.9228671,40.4736758,Antwerp,-84.7405144,41.1814388,330.68263863561356,"Amsterdam, Netherlands",4.8936041,52.3727598,"Antwerp, Belgium",4.3997081,51.2211097,132.48440674373552,2.4960117704663367
Amsterdam,-80.9228671,40.4736758,Athens,-82.1012479,39.3289242,162.19098331141774,"Amsterdam, Netherlands",4.8936041,52.3727598,"Athens, Greece",23.7283052,37.9839412,2164.028648659992,0.07494863037596544
Amsterdam,-80.9228671,40.4736758,Belfort,-81.2453851,40.8122811,46.455181214645066,"Amsterdam, Netherlands",4.8936041,52.3727598,"Belfort, France",6.8628942,47.6379599,544.9166281606758,0.08525190609699498
Amsterdam,-80.9228671,40.4736758,Berea,-81.8543026,41.3661614,126.38374560908052,"Amsterdam, Netherlands",4.8936041,52.3727598,"Veria, Greece",22.2036834,40.5215342,1860.45318275349,0.06793169899713965
Amsterdam,-80.9228671,40.4736758,Bexley,-82.936864,39.9692378,179.95463292497143,"Amsterdam, Netherlands",4.8936041,52.3727598,"Bexley, United Kingdom",0.150488,51.4416793,341.37810093370075,0.5271417013357882
Amsterdam,-80.9228671,40.4736758,Bonn,-81.3853969,39.5314626,111.93130613075563,"Amsterdam, Netherlands",4.8936041,52.3727598,"Bonn, Germany",7.10066,50.735851,237.49323250589072,0.4713031396714823
Amsterdam,-80.9228671,40.4736758,Cadiz,-80.9967628,40.2728452,23.192138773638888,"Amsterdam, Netherlands",4.8936041,52.3727598,"Cadiz, Spain",-6.2928976,36.5297438,1967.4969405544944,0.01178763651195448
Amsterdam,-80.9228671,40.4736758,Cairo,-84.08198022439336,40.8331281,269.46665218917764,"Amsterdam, Netherlands",4.8936041,52.3727598,"Cairo, Egypt",31.2357257,30.0443879,3282.995060478166,0.08207951800875692
Amsterdam,-80.9228671,40.4736758,Calcutta,-80.56991771847152,40.685178,37.968244925267506,"Amsterdam, Netherlands",4.8936041,52.3727598,"Calcutta, India",88.3638815,22.5726723,7605.750544953442,0.004992044466993484
Amsterdam,-80.9228671,40.4736758,Canton,-81.3749508,40.7985464,52.53719194055326,"Amsterdam, Netherlands",4.8936041,52.3727598,"Guangzhou, China",113.2592945,23.1301964,9149.876288511714,0.0057418472429531355
Amsterdam,-80.9228671,40.4736758,Carthagena,-84.5599552,40.4367135,307.7387224414793,"Amsterdam, Netherlands",4.8936041,52.3727598,"Cartegena, Spain",-0.4880777,38.3695979,1611.6955860681517,0.19094097241541141
Amsterdam,-80.9228671,40.4736758,Cheviot,-84.6132787,39.1570028,347.50216391665197,"Amsterdam, Netherlands",4.8936041,52.3727598,"Cheviot Hills, United Kingdom",-2.1087863,52.5708442,474.6282261252933,0.732156548618155
Amsterdam,-80.9228671,40.4736758,Damascus,-80.9550891,40.9020031,47.705246721855,"Amsterdam, Netherlands",4.8936041,52.3727598,"Damascus, Syria",36.3095814,33.5130695,3262.9167314034753,0.014620430323189887
Amsterdam,-80.9228671,40.4736758,Delhi,-84.6052225,39.0950595,349.96684006422976,"Amsterdam, Netherlands",4.8936041,52.3727598,"Delhi, India",77.2219388,28.6517178,6355.191060842316,0.055067870771118126
Amsterdam,-80.9228671,40.4736758,Dresden,-82.0106918,40.1214579,100.22418489715062,"Amsterdam, Netherlands",4.8936041,52.3727598,"Dresden, Germany",13.7381437,51.0493286,626.4616434309146,0.15998455124603844
Amsterdam,-80.9228671,40.4736758,Dublin,-83.1140771,40.0992294,190.46342985259113,"Amsterdam, Netherlands",4.8936041,52.3727598,"Dublin, Ireland",-6.2602732,53.3497645,755.8394603297602,0.251989264717001
Amsterdam,-80.9228671,40.4736758,East Liverpool,-80.5772928,40.6186756,33.35501040171362,"Amsterdam, Netherlands",4.8936041,52.3727598,"Liverpool, United Kingdom",-2.99168,53.4071991,541.0743139886598,0.06164589510048835
Amsterdam,-80.9228671,40.4736758,Glandorf,-84.0791193,41.0289961,272.9283418507592,"Amsterdam, Netherlands",4.8936041,52.3727598,"Glandorf, Germany",8.0033646,52.081578,214.25032252858347,1.2738759906153578
Amsterdam,-80.9228671,40.4736758,Kimbolton,-81.572065,40.1528489,65.59341469456898,"Amsterdam, Netherlands",4.8936041,52.3727598,"Kimbolton, United Kingdom",-0.3813986697827069,52.30345885,358.38797222324234,0.18302348231070206
Amsterdam,-80.9228671,40.4736758,Leipsic,-83.9846655,41.0983847,266.9568751749829,"Amsterdam, Netherlands",4.8936041,52.3727598,"Leipzig, Germany",12.3747329,51.3406321,526.1862308220841,0.5073429511028905
Amsterdam,-80.9228671,40.4736758,Lima,-84.105006,40.7399785,270.24318953102846,"Amsterdam, Netherlands",4.8936041,52.3727598,"Lima, Peru",-77.0365256,-12.0621065,10528.586403832047,0.025667566296712838
Amsterdam,-80.9228671,40.4736758,Lisbon,-80.7681336,40.7720044,35.65060458510343,"Amsterdam, Netherlands",4.8936041,52.3727598,"Lisbon, Portugal",-9.1365919,38.7077507,1864.508957019769,0.019120640022071738
